anime_id,titulo,titulo_ingles,titulo_japones,tipo,fonte,episodios,status,em_exibicao,data_inicio_exibicao,data_fim_exibicao,duracao_min,classificacao_etaria,ano,temporada
16498,Shingeki no Kyojin,Attack on Titan,進撃の巨人,TV,MANGA,25.0,FINISHED,False,2013-04-07,2013-09-28,24.0,,2013.0,spring
101922,Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,鬼滅の刃,TV,MANGA,26.0,FINISHED,False,2019-04-06,2019-09-28,24.0,,2019.0,spring
113415,Jujutsu Kaisen,JUJUTSU KAISEN,呪術廻戦,TV,MANGA,24.0,FINISHED,False,2020-10-03,2021-03-27,24.0,,2020.0,fall
1535,DEATH NOTE,Death Note,DEATH NOTE,TV,MANGA,37.0,FINISHED,False,2006-10-04,2007-06-27,23.0,,2006.0,fall
21459,Boku no Hero Academia,My Hero Academia,僕のヒーローアカデミア,TV,MANGA,13.0,FINISHED,False,2016-04-03,2016-06-26,24.0,,2016.0,spring
11061,HUNTER×HUNTER (2011),Hunter x Hunter (2011),HUNTER×HUNTER (2011),TV,MANGA,148.0,FINISHED,False,2011-10-02,2014-09-24,24.0,,2011.0,fall
21087,One Punch Man,One-Punch Man,ワンパンマン,TV,MANGA,12.0,FINISHED,False,2015-10-05,2015-12-21,24.0,,2015.0,fall
21,ONE PIECE,ONE PIECE,ONE PIECE,TV,MANGA,,RELEASING,True,1999-10-20,,24.0,,1999.0,fall
20605,Tokyo Ghoul,Tokyo Ghoul,東京喰種 トーキョーグール,TV,MANGA,12.0,FINISHED,False,2014-07-04,2014-09-19,24.0,,2014.0,summer
20958,Shingeki no Kyojin Season 2,Attack on Titan Season 2,進撃の巨人 Season２,TV,MANGA,12.0,FINISHED,False,2017-04-01,2017-06-17,25.0,,2017.0,spring
5114,Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,TV,MANGA,64.0,FINISHED,False,2009-04-05,2010-07-04,25.0,,2009.0,spring
20,NARUTO,Naruto,NARUTO -ナルト-,TV,MANGA,220.0,FINISHED,False,2002-10-03,2007-02-08,23.0,,2002.0,fall
11757,Sword Art Online,Sword Art Online,ソードアート・オンライン,TV,LIGHT_NOVEL,25.0,FINISHED,False,2012-07-08,2012-12-23,23.0,,2012.0,summer
20954,Koe no Katachi,A Silent Voice,聲の形,MOVIE,MANGA,1.0,FINISHED,False,2016-09-17,2016-09-17,130.0,,2016.0,summer
21519,Kimi no Na wa.,Your Name.,君の名は。,MOVIE,ORIGINAL,1.0,FINISHED,False,2016-08-26,2016-08-26,107.0,,2016.0,summer
99147,Shingeki no Kyojin Season 3,Attack on Titan Season 3,進撃の巨人 Season３,TV,MANGA,12.0,FINISHED,False,2018-07-23,2018-10-15,24.0,,2018.0,summer
21856,Boku no Hero Academia 2,My Hero Academia Season 2,僕のヒーローアカデミア２,TV,MANGA,25.0,FINISHED,False,2017-04-01,2017-09-30,24.0,,2017.0,spring
110277,Shingeki no Kyojin: The Final Season,Attack on Titan Final Season,進撃の巨人 The Final Season,TV,MANGA,16.0,FINISHED,False,2020-12-07,2021-03-29,24.0,,2021.0,winter
101759,Yakusoku no Neverland,The Promised Neverland,約束のネバーランド,TV,MANGA,12.0,FINISHED,False,2019-01-10,2019-03-29,23.0,,2019.0,winter
127230,Chainsaw Man,Chainsaw Man,チェンソーマン,TV,MANGA,12.0,FINISHED,False,2022-10-12,2022-12-28,25.0,,2022.0,fall
20755,Ansatsu Kyoushitsu,Assassination Classroom,暗殺教室,TV,MANGA,22.0,FINISHED,False,2015-01-10,2015-06-20,23.0,,2015.0,winter
21507,Mob Psycho 100,Mob Psycho 100,モブサイコ100,TV,MANGA,12.0,FINISHED,False,2016-07-12,2016-09-27,24.0,,2016.0,summer
21355,Re:Zero kara Hajimeru Isekai Seikatsu,Re:ZERO -Starting Life in Another World-,Re:ゼロから始める異世界生活,TV,LIGHT_NOVEL,25.0,FINISHED,False,2016-04-04,2016-09-19,25.0,,2016.0,spring
20665,Shigatsu wa Kimi no Uso,Your lie in April,四月は君の嘘,TV,MANGA,22.0,FINISHED,False,2014-10-10,2015-03-20,23.0,,2014.0,fall
104578,Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,進撃の巨人 Season３ Part.2,TV,MANGA,10.0,FINISHED,False,2019-04-29,2019-07-01,24.0,,2019.0,spring
1735,NARUTO: Shippuuden,Naruto: Shippuden,NARUTO -ナルト- 疾風伝,TV,MANGA,500.0,FINISHED,False,2007-02-15,2017-03-23,23.0,,2007.0,winter
21234,Boku dake ga Inai Machi,ERASED,僕だけがいない街,TV,MANGA,12.0,FINISHED,False,2016-01-08,2016-03-25,23.0,,2016.0,winter
100166,Boku no Hero Academia 3,My Hero Academia Season 3,僕のヒーローアカデミア３,TV,MANGA,25.0,FINISHED,False,2018-04-07,2018-09-29,24.0,,2018.0,spring
9253,Steins;Gate,Steins;Gate,シュタインズ・ゲート,TV,VISUAL_NOVEL,24.0,FINISHED,False,2011-04-06,2011-09-14,24.0,,2011.0,spring
20464,Haikyuu!!,HAIKYU!!,ハイキュー!!,TV,MANGA,25.0,FINISHED,False,2014-04-06,2014-09-21,24.0,,2014.0,spring
97940,Black Clover,Black Clover,ブラッククローバー,TV,MANGA,170.0,FINISHED,False,2017-10-03,2021-03-30,24.0,,2017.0,fall
101291,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Rascal Does Not Dream of Bunny Girl Senpai,青春ブタ野郎はバニーガール先輩の夢を見ない,TV,LIGHT_NOVEL,13.0,FINISHED,False,2018-10-04,2018-12-27,25.0,,2018.0,fall
140960,SPY×FAMILY,SPY x FAMILY,SPY×FAMILY,TV,MANGA,12.0,FINISHED,False,2022-04-09,2022-06-25,24.0,,2022.0,spring
