estudio_id,nome_estudio
858,WIT STUDIO
10,Production I.G
43,ufotable
569,MAPPA
11,MADHOUSE
196,Ashi Productions
4,bones
6460,Studio Live
18,Toei Animation
416,TAP
207,Magic Bus
68,Mushi Production
6291,Studio Guts
406,Asahi Production
1,Studio Pierrot
561,A-1 Pictures
2,Kyoto Animation
291,CoMix Wave
6222,CloverWorks
456,Lerche
314,WHITE FOX
73,TMS Entertainment
7,J.C.STAFF
803,TRIGGER
14,Sunrise
6,Gainax
103,Tatsunoko Production
287,david production
21,Studio Ghibli
101,Studio Hibari
765,Sakura Create
4418,8-bit
6116,Bandai Namco Pictures
290,Kinema Citrus
839,LIDENFILMS
132,P.A.WORKS
163,Asread
325,Code
6145,Science SARU
112,Brain's Base
41,Satelight
200,Tezuka Productions
6127,EGG FIRM
929,Animation Do
44,Shaft
94,Telecom Animation Film
95,Doga Kobo
28,OLM
7368,TOHO animation STUDIO
852,Nexus
24,Studio Fantasia
47,Studio Khara
32,Manglobe
6148,NUT
91,feel.
300,SILVER LINK.
6077,Orange
70,Nomad
110,Triangle Staff
7585,bones film
35,Seven Arcs
7348,BUG FILMS
6117,Zero-G
6180,Bibury Animation Studios
65,Tokyo Movie Shinsha
6738,Studio Palette
3,GONZO
6071,Shuka
418,Studio Gokumi
555,Studio Chizu
8,Artland
37,Studio DEEN
392,Enterbrain
4419,Studio Colorido
4399,project No.9
397,Bridge
6052,C2C
549,StudioRF Inc.
894,Graphinica
75,Imagin
6103,PINE JAM
6075,Lay-duce
6391,Studio LAN
309,GoHands
60,Actas
6417,AQUA ARIS
247,Shin-Ei Animation
6069,Studio 3Hz
6074,C-Station
6314,Okuruto Noboru
911,Passione
6312,Studio KAI
218,ZEXCS
6073,Millepensee
6639,exsa
6711,P.I.C.S.
7371,Folium
436,AIC Build
755,Jumondou
6140,Haoliners Animation
6182,CygamesPictures
6217,REVOROOT
318,WAO World
6142,Geno Studio
30,Ajiado
6068,TROYCA
6101,Signal.MD
22,Nippon Animation
346,Hoods Entertainment
6960,Atelier Pontdarc
6638,studio MOTHER
39,Daume
6292,ENGI
178,Trilogy Future Studio
6126,Felix Film
51,diomedéa
120,TNK
951,NAZ
7408,Studio Add
6416,WolfsBane
6323,Paper Plane Animation Studio
7324,B.Cool Studio
6318,Pb Animation
6289,Drive
229,The Answer Studio
6067,POLYGON PICTURES
6360,HORNETS
126,Studio Comet
36,Studio Gallop
413,Pastel
7517,PIERROT FILMS
6485,B.CMAY PICTURES
118,SynergySP
6125,EMT Squared
38,ARMS
399,Dream Force
6400,CLAP
443,Studio PuYUKAI
363,Topcraft
6311,Children's Playground Entertainment
6496,domerica
6109,Studio Signpost
69,Front Line
453,Tsuburaya Productions
6149,Platinum Vision
6137,Studio M2
7331,Tsumugi Akita Anime Lab
6414,Team Yamahitsuji
478,Studio Blanc
354,Encourage Films
333,TYO Animations
6288,Maho Film
81,Radix
179,A.C.G.T.
171,A Line
6413,DMM.futureworks
6216,GEEKTOYS
553,Marvy Jack
6143,TYPHOON GRAPHICS
957,CONNECT
412,Studio Wombat
7225,Liber
7821,V1 Studio
7597,Wonderland
6130,G.CMay Animation & Film
6486,K.PICTURES
6138,BLADE
48,AIC
497,Studio Gram
753,PRA
6108,AXsiZ
6122,Gaina
6601,Akatsuki
7369,Fugaku
86,Group TAC
7394,T.P.O
541,Seven
6751,OZ
6309,Studio Bind
7066,Hayabusa Film
27,Xebec
6072,Creators in Pack
7107,Staple Entertainment
84,Studio Rikka
96,Yumeta Company
6371,Yostar Pictures
7294,CLOUDHEARTS
241,Koei
537,SANZIGEN
6443,Makaria
6132,Tengu Kobou
723,Hotline
299,Studio Pastoral
6150,Qualia Animation
6791,Cartoon Saloon
6910,Azeta Pictures
7049,CMC Media
334,Ordet
7621,animation studio42
6239,Arvo Animation
437,Kamikaze Douga
6498,Studio elle
866,Fanworks
6754,Studio Kafka
5,Bee Train
7050,Red Dog Culture House
6687,FLAT STUDIO
6828,FLAGSHIP LINE
6532,NAMU Animation
7385,100studio
7725,Studio Chromato
6333,Sharefun Studio
88,AIC A.S.T.A.
6728,BAKKEN RECORD
6533,Pandanium
34,Hal Film Maker
7516,GA-CREW
6634,East Fish Studio
6524,Studio Massket
473,Ascension
13,Studio 4°C
896,Larx Entertainment
292,AIC Plus+
7284,Gekkou
7475,ROLL2
7742,EVOLROAR
7341,Studio Mir
7501,Teddy
6573,Sunrise Beyond
829,GRAPH77
83,AIC Spirits
7263,CompTown
77,APPP
4420,Production IMS
7693,CUE
6596,Procen Studio
7757,Aura Studio
7199,Studio Lings
494,Studio Take Off
7745,ROCK'N ROLL MOUNTAIN
210,Studio Tulip
455,Palm Studio
6300,Buemon
6737,Production +h
6420,Issen
384,Trick Block
6162,Foch
7735,Atelier Peuplier
276,DLE
7524,Saber Works
6896,Animate Film
7606,Studio Clutch
7463,STUDIO POLON
761,Sunny Side Up
80,Trans Arts
6147,Studio Ponoc
7505,Soigne
177,Studio Kyuuma
7792,FuRyu Pictures
7688,BENTEN Film
6321,Colored Pencil Animation
6867,Colored Pencil Animation Japan
154,E&G Films
6567,studio CANDY BOX
7799,Electric Circus
6349,Imagineer
7762,STUDIO EEK
6546,GARDEN
114,Studio Matrix
6319,ASK Animation Studio
6649,Liyu Culture
7629,MARU animation
7805,Cypic
367,Heewon Entertainment
6240,Studio Silver
7632,Kachigarasu
78,Picture Magic
6558,Visual Flight
563,LandQ studios
253,Rikuentai
7845,Seven Arcs Pictures
6246,Tear-Studio
6734,Cyclone Graphics
7440,EOTA
234,Oh! Production
249,Robot
117,Studio Izena
7375,Square Pictures
7376,DNA
7091,YAMATOWORKS
6844,Green Ooita
6449,l-a-unch・BOX
7002,Quad
6426,HMCH
6857,S.o.K
463,M.S.C
7789,Double Eagle
175,Planet
235,Shirogumi
7474,MOE
131,G&G Entertainment
479,DOGA Productions
7794,JUVENAGE
390,Tsuchida Productions
6337,Space Neko Company
6797,studio daisy
7031,Hero
7362,Voil
6176,L² Studio
6378,TrioPen Studio
7035,Alfred Imageworks
6693,The Monk Studios
122,Tokyo Kids
442,Minami Machi Bugyousho
7326,Shanghai Phantom Animation
6177,B&T
6335,Coloroom Pictures
6701,Ichigo Animation
6702,Comic Animation
6386,Green Monster Team
6361,Tokyo Movie
434,Synergy Japan
7468,Seoul Animation
6912,OUTLINE
7206,Project Team Argos
7006,Bibury Animation CG
336,JM animation
6747,Cocktail Media
7254,Studio N
6381,FENZ
6425,Tianwen Kadokawa
6989,Observatory Animation
486,Digital Frontier
7119,MontBlanc Pictures
6826,INDIVISION
7682,Psyde Kick Studio
6076,office DCI
898,Xebec Zwei
6350,Planet Cartoon
329,Phoenix Entertainment
7040,Mu Animation Studio
7382,UNEND
7683,NEWON
93,Studio Flag
7795,Grass
7286,Yasuda Genshou Studio by Xenotoon
629,Studio Sign
6982,LIDENFILMS Kyoto Studio
6456,Sprite Animation Studios
298,Studio Anima
909,Studio Kelmadick
7607,Crew Cell
6082,Rising Force
6526,Studio Tumble
7064,Flint Sugar
7483,Andraft
176,Ginga Ya
6793,Gambit
6627,Qubic Pictures
6628,CGCG Studio Inc.
7531,Imageworks Studio
347,PrimeTime
6393,Sparkly Key Animation
6875,Anime Room
6379,Djinn Power
6338,Coco Cartoon
6079,Tomovies
6320,Chongzhuo Animation
6981,Village Studio
6703,Ginga Teikoku
280,Studio Junio
330,Kanaban Graphics
7496,Miyu Productions
7515,Studio Outrigger
6440,Gosay Studio
421,International Digital Artist
