anime_id,genero_id
52991,2
52991,46
52991,8
52991,10
52991,27
61316,8
61316,10
61316,41
61316,62
61316,40
61316,78
5114,1
5114,2
5114,8
5114,10
5114,38
5114,27
61469,1
61469,2
61469,7
61469,37
61469,13
61469,3
61469,42
61469,27
9253,8
9253,24
9253,41
9253,40
9253,78
57555,1
57555,10
57555,58
57555,82
57555,27
38524,1
38524,8
38524,41
38524,58
38524,38
38524,76
38524,27
28977,1
28977,4
28977,24
28977,57
28977,13
28977,20
28977,21
28977,27
39486,1
39486,4
39486,8
39486,24
39486,57
39486,13
39486,20
39486,21
39486,27
11061,1
11061,2
11061,10
11061,27
9969,1
9969,4
9969,24
9969,57
9969,13
9969,20
9969,21
9969,27
15417,1
15417,4
15417,24
15417,57
15417,13
15417,20
15417,21
15417,27
820,8
820,24
820,50
820,38
820,29
60022,1
60022,2
60022,10
60022,27
34096,1
34096,4
34096,24
34096,57
34096,13
34096,20
34096,21
34096,27
41467,1
41467,2
41467,37
41467,27
59193,2
59193,8
59193,10
59193,9
59193,62
59193,72
43608,4
43608,22
43608,23
43608,42
42938,8
42938,22
42938,37
42938,25
4181,8
4181,22
918,1
918,4
918,24
918,57
918,13
918,20
918,21
918,27
28851,46
28851,8
28851,27
2904,46
2904,8
2904,24
2904,18
2904,38
2904,31
58514,8
58514,7
58514,13
58514,67
35180,8
35180,11
35180,42
